timestamp,target_population,current_population,object_type,operation,duration_sec,cpu_percent,memory_percent,status_code,error
2025-04-07T22:12:40.116796,200,201,categories,DELETE,0.003995749983005226,0.0,80.7,200,
2025-04-07T22:12:40.120840,200,200,categories,UPDATE,0.0024802919942885637,0.0,80.7,200,
2025-04-07T22:12:40.123430,200,200,categories,CREATE,0.002083999977912754,0.0,80.7,201,
2025-04-07T22:12:40.125569,200,201,categories,DELETE,0.0034524999791756272,0.0,80.7,200,
2025-04-07T22:12:40.129106,200,200,categories,CREATE,0.0026005840045399964,0.0,80.7,201,
2025-04-07T22:12:40.131768,200,201,categories,DELETE,0.002204290998633951,0.0,80.7,200,
2025-04-07T22:12:40.134076,200,200,projects,DELETE,0.009090124978683889,0.0,80.7,200,
2025-04-07T22:12:40.143232,200,199,projects,CREATE,0.06456920795608312,0.0,80.7,201,
2025-04-07T22:12:40.207949,200,200,projects,DELETE,0.0035553749767132103,0.0,80.7,200,
2025-04-07T22:12:40.211952,200,199,projects,CREATE,0.004018708015792072,0.0,80.7,201,
2025-04-07T22:12:40.216304,200,200,projects,UPDATE,0.014756250020582229,0.0,80.7,200,
2025-04-07T22:12:40.231402,200,200,projects,DELETE,0.057666625012643635,0.0,80.7,200,
2025-04-07T22:12:40.289154,200,199,projects,DELETE,0.020989625016227365,0.0,80.7,200,
2025-04-07T22:12:40.310246,200,198,projects,CREATE,0.044963874970562756,0.0,80.7,201,
2025-04-07T22:12:40.358866,200,199,projects,DELETE,0.005046124977525324,0.0,80.7,200,
2025-04-07T22:12:40.364076,200,198,projects,UPDATE,0.0035547500010579824,0.0,80.7,200,
2025-04-07T22:12:42.522029,500,500,todos,DELETE,0.002022207947447896,48.8,81.0,200,
2025-04-07T22:12:42.524094,500,499,todos,CREATE,0.001940749993082136,33.3,81.0,201,
2025-04-07T22:12:42.526101,500,500,todos,CREATE,0.002668459026608616,0.0,81.0,201,
2025-04-07T22:12:42.528885,500,501,todos,UPDATE,0.0025791249936446548,0.0,81.0,200,
2025-04-07T22:12:42.531607,500,501,todos,UPDATE,0.00310550001449883,0.0,81.0,200,
2025-04-07T22:12:42.534849,500,501,todos,UPDATE,0.0022917920141480863,0.0,81.0,200,
2025-04-07T22:12:42.537244,500,501,todos,UPDATE,0.004330166964791715,0.0,81.0,200,
2025-04-07T22:12:42.541672,500,501,todos,CREATE,0.0023765000514686108,0.0,81.0,201,
2025-04-07T22:12:42.544122,500,502,todos,UPDATE,0.0022720000124536455,0.0,81.0,200,
2025-04-07T22:12:42.546530,500,502,todos,CREATE,0.001546707993838936,0.0,81.0,201,
2025-04-07T22:12:42.548133,500,500,categories,DELETE,0.0016140409861691296,0.0,81.0,200,
2025-04-07T22:12:42.549831,500,499,categories,UPDATE,0.0019018750172108412,0.0,81.0,200,
2025-04-07T22:12:42.551800,500,499,categories,UPDATE,0.0021795830107294023,0.0,81.0,200,
2025-04-07T22:12:42.554056,500,499,categories,DELETE,0.001953667029738426,0.0,81.0,200,
2025-04-07T22:12:42.556058,500,498,categories,CREATE,0.0017431669984944165,0.0,81.0,201,
2025-04-07T22:12:42.557852,500,499,categories,UPDATE,0.0023325830115936697,0.0,81.0,200,
2025-04-07T22:12:42.560296,500,499,categories,UPDATE,0.0020133749931119382,0.0,81.0,200,
2025-04-07T22:12:42.562394,500,499,categories,CREATE,0.001997250015847385,0.0,81.0,201,
2025-04-07T22:12:42.564447,500,500,categories,CREATE,0.004368249967228621,0.0,81.0,201,
2025-04-07T22:12:42.568892,500,501,categories,CREATE,0.0015810420154593885,0.0,81.0,201,
2025-04-07T22:12:42.570548,500,500,projects,CREATE,0.0017212500097230077,0.0,81.0,201,
2025-04-07T22:12:42.572472,500,501,projects,DELETE,0.001869458006694913,0.0,81.0,200,
2025-04-07T22:12:42.574423,500,500,projects,UPDATE,0.0018262080266140401,0.0,81.0,200,
2025-04-07T22:12:42.576389,500,500,projects,DELETE,0.0015627910033799708,0.0,81.0,200,
2025-04-07T22:12:42.577986,500,499,projects,UPDATE,0.0018122079782187939,0.0,81.0,200,
2025-04-07T22:12:42.579987,500,499,projects,CREATE,0.001467707974370569,0.0,81.0,201,
2025-04-07T22:12:42.581533,500,500,projects,CREATE,0.0015677079791203141,0.0,81.0,201,
2025-04-07T22:12:42.583285,500,501,projects,CREATE,0.0014548330218531191,0.0,81.0,201,
2025-04-07T22:12:42.584940,500,502,projects,UPDATE,0.001575250003952533,0.0,81.0,200,
2025-04-07T22:12:42.586674,500,502,projects,UPDATE,0.001578541996423155,0.0,81.0,200,
